RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,60004,Jacob Bridgeman,1.354,2.707,2
2,0,29221,Webb Simpson,1.305,5.218,4
3,0,50474,Tim Widing,1.243,1.243,1
4,0,54576,Patrick Fishburn,1.152,4.609,4
5,0,57586,Jesper Svensson,0.925,3.699,4
6,0,51287,Ryo Hisatsune,0.853,3.413,4
7,-6,57366,Cameron Young,0.829,3.317,4
8,0,52375,Doug Ghim,0.811,3.243,4
9,0,67986,Tyler Loree,0.810,1.620,2
10,0,35506,Mackenzie Hughes,0.780,1.560,2
11,-6,33948,Byeong Hun An,0.732,4.393,6
12,0,49590,Frankie Capan III,0.688,2.752,4
13,-11,35450,Patrick Cantlay,0.681,2.724,4
14,0,49771,J.T. Poston,0.656,3.935,6
15,0,59137,RJ Manke,0.655,1.310,2
16,0,40115,Adam Svensson,0.635,2.541,4
17,0,30927,Brendon Todd,0.606,1.212,2
18,-14,32757,Patton Kizzire,0.545,3.269,6
19,-16,39971,Sungjae Im,0.496,1.983,4
20,0,37275,Sam Ryder,0.483,1.932,4
21,0,29908,C.T. Pan,0.470,1.878,4
22,0,39975,Michael Kim,0.447,0.894,2
23,3,51349,Nico Echavarria,0.445,3.560,8
24,-17,57975,Harry Hall,0.413,3.300,8
25,-16,50525,Collin Morikawa,0.402,1.609,4
26,0,47988,Nick Hardy,0.400,0.799,2
26,-11,36799,Stephan Jaeger,0.400,3.196,8
28,0,54607,Danny Walker,0.381,0.761,2
29,-19,39977,Max Homa,0.351,1.405,4
29,-19,24502,Adam Scott,0.351,1.404,4
31,0,38991,Alejandro Tosti,0.350,0.700,2
32,0,34021,Bud Cauley,0.321,1.282,4
33,0,63343,Aldrich Potgieter,0.315,0.629,2
34,-26,35532,Tom Hoge,0.313,2.507,8
35,-22,45522,Christiaan Bezuidenhout,0.280,1.118,4
36,0,46340,Alex Smalley,0.258,1.032,4
37,1,27644,Brian Harman,0.253,2.022,8
38,0,24024,Zach Johnson,0.244,0.975,4
39,-27,32839,Hideki Matsuyama,0.243,1.945,8
40,0,49453,Trevor Cone,0.240,0.480,2
41,0,31646,Emiliano Grillo,0.238,0.475,2
42,0,36699,Patrick Rodgers,0.236,0.472,2
43,-27,47504,Sam Burns,0.234,0.935,4
43,0,39546,Keith Mitchell,0.234,0.936,4
45,-4,34098,Russell Henley,0.224,1.788,8
46,-7,58168,Davis Thompson,0.223,1.340,6
47,-41,34466,Peter Malnati,0.215,1.291,6
47,0,34256,Andrew Putnam,0.215,0.860,4
49,0,51690,Taylor Dickson,0.212,0.849,4
50,-33,46414,Aaron Rai,0.205,0.820,4
51,-33,47483,Will Zalatoris,0.201,0.802,4
52,-31,45157,Cam Davis,0.198,1.191,6
53,0,31323,Gary Woodland,0.196,0.785,4
54,-14,59866,Nick Dunlap,0.174,1.388,8
55,0,58858,Gavin Cohen,0.171,0.341,2
56,0,27770,Camilo Villegas,0.165,0.330,2
57,-32,52215,Robert MacIntyre,0.161,1.287,8
58,-34,33141,Keegan Bradley,0.140,1.119,8
59,0,28775,Nate Lashley,0.139,0.556,4
60,0,36824,Paul Peterson,0.136,0.545,4
60,-27,51634,Sahith Theegala,0.136,1.090,8
62,-40,52955,Ludvig Ã…berg,0.126,0.504,4
63,-31,29420,Billy Horschel,0.113,0.676,6
64,0,51997,Andrew Novak,0.107,0.214,2
65,0,51894,Vince Whaley,0.106,0.424,4
66,-17,33399,Adam Hadwin,0.090,0.717,8
67,0,47567,Ben Polland,0.077,0.153,2
68,0,27139,David Skinns,0.074,0.147,2
69,0,60882,Thomas Rosenmueller,0.072,0.289,4
70,-43,28089,Jason Day,0.068,0.273,4
71,0,54591,Ben Griffin,0.067,0.266,4
72,0,50582,Jeremy Paul,0.064,0.256,4
73,0,39327,Ben Silverman,0.044,0.174,4
74,0,36801,Mark Hubbard,0.040,0.160,4
75,0,56781,Isaiah Salinda,0.039,0.078,2
76,0,23108,Matt Kuchar,0.036,0.143,4
77,0,40006,Erik van Rooyen,0.030,0.119,4
78,-58,40250,Taylor Pendrith,0.028,0.221,8
79,-60,47993,Denny McCarthy,0.016,0.128,8
80,0,52513,Carson Young,0.012,0.024,2
81,0,48117,Kurt Kitayama,0.010,0.041,4
82,0,32448,James Hahn,0.007,0.026,4
83,0,59160,John Pak,0.002,0.003,2
84,-53,29725,Tony Finau,-0.003,-0.013,4
84,0,47917,Takumi Kanaya,-0.003,-0.007,2
86,-52,51977,Max Greyserman,-0.024,-0.096,4
87,-52,51766,Wyndham Clark,-0.027,-0.108,4
87,-52,47420,Jake Knapp,-0.027,-0.110,4
89,0,22371,Aaron Baddeley,-0.031,-0.123,4
90,-53,33448,Justin Thomas,-0.046,-0.184,4
91,0,27129,Luke List,-0.051,-0.203,4
92,0,49120,Kensei Hirata,-0.063,-0.253,4
93,0,47347,Adam Schenk,-0.070,-0.280,4
94,0,56762,Will Gordon,-0.095,-0.190,2
94,0,60019,Jackson Suber,-0.095,-0.380,4
96,-68,29535,Brice Garnett,-0.098,-0.787,8
97,-46,37455,Si Woo Kim,-0.099,-0.595,6
98,-42,25493,Nick Taylor,-0.100,-0.798,8
99,0,52144,Braden Thornberry,-0.104,-0.209,2
100,-58,45242,Kevin Yu,-0.120,-0.480,4
101,0,32791,K.H. Lee,-0.122,-0.245,2
102,0,27214,Kevin Streelman,-0.139,-0.555,4
103,-60,59141,Matt McCarty,-0.140,-1.119,8
104,-81,33653,Thomas Detry,-0.147,-1.180,8
105,-53,39997,Corey Conners,-0.149,-0.893,6
106,0,40026,Daniel Berger,-0.150,-0.300,2
107,-63,40098,Matt Fitzpatrick,-0.153,-0.613,4
107,0,51950,Max McGreevy,-0.153,-0.307,2
109,0,57123,Steven Fisk,-0.158,-0.317,2
110,0,36884,Ben Kohles,-0.181,-0.725,4
111,0,55165,Noah Goodwin,-0.188,-0.376,2
112,-82,47591,Eric Cole,-0.189,-1.514,8
113,0,51696,Rico Hoey,-0.196,-0.785,4
114,0,63121,William Mouw,-0.226,-0.453,2
115,0,55893,Sam Stevens,-0.234,-0.938,4
116,-71,48081,Xander Schauffele,-0.236,-0.946,4
117,0,36326,David Lipsky,-0.249,-0.996,4
118,-89,30926,Chris Kirk,-0.264,-1.586,6
119,0,39324,J.J. Spaun,-0.272,-1.088,4
120,0,23320,Ryan Palmer,-0.275,-0.550,2
121,0,34076,Joel Dahmen,-0.276,-0.553,2
122,0,30163,Henrik Norlander,-0.277,-1.110,4
123,0,58605,Quade Cummins,-0.280,-0.560,2
123,0,49947,Taylor Moore,-0.280,-0.561,2
125,0,59143,Mac Meissner,-0.298,-1.191,4
126,0,25900,Lucas Glover,-0.309,-1.237,4
127,0,39335,Kevin Roy,-0.317,-1.269,4
128,-80,46717,Viktor Hovland,-0.318,-1.274,4
129,0,47983,Chad Ramey,-0.330,-0.661,2
130,0,28252,Seamus Power,-0.349,-0.698,2
131,-81,47995,Davis Riley,-0.351,-1.054,3
132,-85,32070,Rafael Campos,-0.362,-2.173,6
133,0,34587,Chan Kim,-0.372,-1.489,4
134,-88,49960,Sepp Straka,-0.383,-3.067,8
135,0,51070,Vincent Norrman,-0.384,-1.537,4
136,0,33597,Harry Higgs,-0.387,-0.775,2
137,0,12716,Charley Hoffman,-0.396,-1.585,4
138,-81,46442,Maverick McNealy,-0.400,-3.201,8
139,0,55182,Tom Kim,-0.423,-1.692,4
140,-87,27064,Jhonattan Vegas,-0.447,-1.787,4
141,0,27649,Brandt Snedeker,-0.457,-1.830,4
142,0,59440,Ricky Castillo,-0.484,-0.969,2
143,0,54628,Lee Hodges,-0.486,-1.946,4
144,-90,48153,Matthieu Pavon,-0.506,-2.025,4
145,0,51890,Greyson Sigg,-0.510,-2.039,4
146,0,66743,Luke Clanton,-0.524,-1.049,2
147,-92,59095,Chris Gotterup,-0.530,-3.180,6
148,0,58619,Kevin Velo,-0.552,-1.104,2
149,0,47056,Rikuya Hoshino,-0.556,-1.113,2
150,0,39859,Cristobal Del Solar,-0.573,-2.293,4
151,0,46443,Brian Campbell,-0.607,-0.607,1
152,0,59018,Ryan Gerard,-0.683,-2.733,4
153,0,55623,Kaito Onishi,-0.732,-1.465,2
154,0,33413,Ben Martin,-0.744,-2.976,4
155,0,55789,Taylor Montgomery,-0.763,-3.052,4
156,0,40162,Justin Lower,-0.774,-3.096,4
157,-99,57362,Austin Eckroat,-0.794,-4.765,6
158,0,35658,Kris Ventura,-0.851,-1.703,2
159,0,54218,Yuta Sugiura,-0.993,-1.987,2
160,0,48867,Matti Schmid,-1.003,-2.007,2
161,0,67652,Mao Matsuyama,-1.082,-2.165,2
162,0,52370,Mason Andersen,-1.085,-2.171,2
163,0,60067,Joe Highsmith,-1.113,-2.227,2
164,0,34099,Harris English,-1.184,-2.369,2
165,0,57900,Chandler Phillips,-1.195,-2.390,2
166,0,35310,Lanto Griffin,-1.206,-2.413,2
167,-108,56630,Akshay Bhatia,-1.219,-4.876,4
168,0,67988,Kelly Welsh,-2.057,-4.115,2